1,Loreta,Curren,Female,France,26,21/05/2015
2,Teresa,Strawn,Female,France,46,21/05/2015
3,Belinda,Partain,Female,United States,37,15/10/2017
4,Holly,Eudy,Female,United States,52,16/08/2016
5,Many,Cuccia,Female,Great Britain,46,21/05/2015
6,Libbie,Dalby,Female,France,42,21/05/2015
7,Lester,Prothro,Male,France,21,15/10/2017
8,Marvel,Hail,Female,Great Britain,28,16/08/2016
9,Angelyn,Vong,Female,United States,29,21/05/2015
10,Francesca,Beaudreau,Female,France,23,15/10/2017
11,Garth,Gangi,Male,United States,41,16/08/2016
12,Carla,Trumbull,Female,Great Britain,28,21/05/2015
13,Veta,Muntz,Female,Great Britain,37,15/10/2017
